"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"20 years"	"20"	"Single"	"1"	"44 weeks"	"44"	926
	"20 years"	"20"	"Single"	"1"	"45 weeks"	"45"	538
	"20 years"	"20"	"Single"	"1"	"46 weeks"	"46"	313
	"20 years"	"20"	"Single"	"1"	"47 weeks"	"47"	231
	"20 years"	"20"	"Single"	"1"	"Unknown or Not Stated"	"99"	79
	"20 years"	"20"	"Twin"	"2"	"17 weeks"	"17"	2
	"20 years"	"20"	"Twin"	"2"	"18 weeks"	"18"	3
	"20 years"	"20"	"Twin"	"2"	"19 weeks"	"19"	3
	"20 years"	"20"	"Twin"	"2"	"20 weeks"	"20"	5
	"20 years"	"20"	"Twin"	"2"	"21 weeks"	"21"	8
	"20 years"	"20"	"Twin"	"2"	"22 weeks"	"22"	4
	"20 years"	"20"	"Twin"	"2"	"23 weeks"	"23"	20
	"20 years"	"20"	"Twin"	"2"	"24 weeks"	"24"	18
	"20 years"	"20"	"Twin"	"2"	"25 weeks"	"25"	15
	"20 years"	"20"	"Twin"	"2"	"26 weeks"	"26"	25
	"20 years"	"20"	"Twin"	"2"	"27 weeks"	"27"	17
	"20 years"	"20"	"Twin"	"2"	"28 weeks"	"28"	16
	"20 years"	"20"	"Twin"	"2"	"29 weeks"	"29"	39
	"20 years"	"20"	"Twin"	"2"	"30 weeks"	"30"	39
	"20 years"	"20"	"Twin"	"2"	"31 weeks"	"31"	53
	"20 years"	"20"	"Twin"	"2"	"32 weeks"	"32"	89
	"20 years"	"20"	"Twin"	"2"	"33 weeks"	"33"	155
	"20 years"	"20"	"Twin"	"2"	"34 weeks"	"34"	161
	"20 years"	"20"	"Twin"	"2"	"35 weeks"	"35"	213
	"20 years"	"20"	"Twin"	"2"	"36 weeks"	"36"	305
	"20 years"	"20"	"Twin"	"2"	"37 weeks"	"37"	347
	"20 years"	"20"	"Twin"	"2"	"38 weeks"	"38"	207
	"20 years"	"20"	"Twin"	"2"	"39 weeks"	"39"	72
	"20 years"	"20"	"Twin"	"2"	"40 weeks"	"40"	34
	"20 years"	"20"	"Twin"	"2"	"41 weeks"	"41"	29
	"20 years"	"20"	"Twin"	"2"	"42 weeks"	"42"	14
	"20 years"	"20"	"Twin"	"2"	"43 weeks"	"43"	6
	"20 years"	"20"	"Twin"	"2"	"44 weeks"	"44"	2
	"20 years"	"20"	"Twin"	"2"	"45 weeks"	"45"	2
	"20 years"	"20"	"Twin"	"2"	"46 weeks"	"46"	4
	"20 years"	"20"	"Twin"	"2"	"47 weeks"	"47"	2
	"20 years"	"20"	"Twin"	"2"	"Unknown or Not Stated"	"99"	3
	"20 years"	"20"	"Triplet"	"3"	"24 weeks"	"24"	6
	"20 years"	"20"	"Triplet"	"3"	"27 weeks"	"27"	2
	"20 years"	"20"	"Triplet"	"3"	"30 weeks"	"30"	3
	"20 years"	"20"	"Triplet"	"3"	"33 weeks"	"33"	9
	"20 years"	"20"	"Triplet"	"3"	"35 weeks"	"35"	3
	"20 years"	"20"	"Triplet"	"3"	"38 weeks"	"38"	1
	"20 years"	"20"	"Quadruplet"	"4"	"25 weeks"	"25"	5
	"21 years"	"21"	"Single"	"1"	"17 weeks"	"17"	5
	"21 years"	"21"	"Single"	"1"	"18 weeks"	"18"	19
	"21 years"	"21"	"Single"	"1"	"19 weeks"	"19"	24
	"21 years"	"21"	"Single"	"1"	"20 weeks"	"20"	35
	"21 years"	"21"	"Single"	"1"	"21 weeks"	"21"	41
	"21 years"	"21"	"Single"	"1"	"22 weeks"	"22"	68
	"21 years"	"21"	"Single"	"1"	"23 weeks"	"23"	78
	"21 years"	"21"	"Single"	"1"	"24 weeks"	"24"	97
	"21 years"	"21"	"Single"	"1"	"25 weeks"	"25"	122
	"21 years"	"21"	"Single"	"1"	"26 weeks"	"26"	125
	"21 years"	"21"	"Single"	"1"	"27 weeks"	"27"	162
	"21 years"	"21"	"Single"	"1"	"28 weeks"	"28"	223
	"21 years"	"21"	"Single"	"1"	"29 weeks"	"29"	272
	"21 years"	"21"	"Single"	"1"	"30 weeks"	"30"	363
	"21 years"	"21"	"Single"	"1"	"31 weeks"	"31"	433
	"21 years"	"21"	"Single"	"1"	"32 weeks"	"32"	638
	"21 years"	"21"	"Single"	"1"	"33 weeks"	"33"	914
	"21 years"	"21"	"Single"	"1"	"34 weeks"	"34"	1801
	"21 years"	"21"	"Single"	"1"	"35 weeks"	"35"	2606
	"21 years"	"21"	"Single"	"1"	"36 weeks"	"36"	4891
	"21 years"	"21"	"Single"	"1"	"37 weeks"	"37"	10969
	"21 years"	"21"	"Single"	"1"	"38 weeks"	"38"	18209
	"21 years"	"21"	"Single"	"1"	"39 weeks"	"39"	33872
	"21 years"	"21"	"Single"	"1"	"40 weeks"	"40"	22402
	"21 years"	"21"	"Single"	"1"	"41 weeks"	"41"	9384
	"21 years"	"21"	"Single"	"1"	"42 weeks"	"42"	3420
	"21 years"	"21"	"Single"	"1"	"43 weeks"	"43"	1892
	"21 years"	"21"	"Single"	"1"	"44 weeks"	"44"	1038
	"21 years"	"21"	"Single"	"1"	"45 weeks"	"45"	578
	"21 years"	"21"	"Single"	"1"	"46 weeks"	"46"	359
	"21 years"	"21"	"Single"	"1"	"47 weeks"	"47"	223
	"21 years"	"21"	"Single"	"1"	"Unknown or Not Stated"	"99"	96
	"21 years"	"21"	"Twin"	"2"	"18 weeks"	"18"	3
	"21 years"	"21"	"Twin"	"2"	"19 weeks"	"19"	8
	"21 years"	"21"	"Twin"	"2"	"21 weeks"	"21"	20
	"21 years"	"21"	"Twin"	"2"	"22 weeks"	"22"	14
	"21 years"	"21"	"Twin"	"2"	"23 weeks"	"23"	25
	"21 years"	"21"	"Twin"	"2"	"24 weeks"	"24"	17
	"21 years"	"21"	"Twin"	"2"	"25 weeks"	"25"	22
	"21 years"	"21"	"Twin"	"2"	"26 weeks"	"26"	26
	"21 years"	"21"	"Twin"	"2"	"27 weeks"	"27"	44
	"21 years"	"21"	"Twin"	"2"	"28 weeks"	"28"	50
	"21 years"	"21"	"Twin"	"2"	"29 weeks"	"29"	43
	"21 years"	"21"	"Twin"	"2"	"30 weeks"	"30"	82
	"21 years"	"21"	"Twin"	"2"	"31 weeks"	"31"	69
	"21 years"	"21"	"Twin"	"2"	"32 weeks"	"32"	117
	"21 years"	"21"	"Twin"	"2"	"33 weeks"	"33"	158
	"21 years"	"21"	"Twin"	"2"	"34 weeks"	"34"	268
	"21 years"	"21"	"Twin"	"2"	"35 weeks"	"35"	300
	"21 years"	"21"	"Twin"	"2"	"36 weeks"	"36"	410
	"21 years"	"21"	"Twin"	"2"	"37 weeks"	"37"	423
	"21 years"	"21"	"Twin"	"2"	"38 weeks"	"38"	271
	"21 years"	"21"	"Twin"	"2"	"39 weeks"	"39"	93
	"21 years"	"21"	"Twin"	"2"	"40 weeks"	"40"	45
	"21 years"	"21"	"Twin"	"2"	"41 weeks"	"41"	32
	"21 years"	"21"	"Twin"	"2"	"42 weeks"	"42"	24
	"21 years"	"21"	"Twin"	"2"	"43 weeks"	"43"	14
	"21 years"	"21"	"Twin"	"2"	"44 weeks"	"44"	3
	"21 years"	"21"	"Twin"	"2"	"45 weeks"	"45"	4
	"21 years"	"21"	"Twin"	"2"	"47 weeks"	"47"	2
	"21 years"	"21"	"Twin"	"2"	"Unknown or Not Stated"	"99"	3
	"21 years"	"21"	"Triplet"	"3"	"24 weeks"	"24"	3
	"21 years"	"21"	"Triplet"	"3"	"26 weeks"	"26"	3
	"21 years"	"21"	"Triplet"	"3"	"28 weeks"	"28"	12
	"21 years"	"21"	"Triplet"	"3"	"30 weeks"	"30"	3
	"21 years"	"21"	"Triplet"	"3"	"34 weeks"	"34"	5
	"21 years"	"21"	"Triplet"	"3"	"35 weeks"	"35"	6
	"21 years"	"21"	"Triplet"	"3"	"36 weeks"	"36"	6
	"21 years"	"21"	"Triplet"	"3"	"37 weeks"	"37"	3
	"21 years"	"21"	"Quadruplet"	"4"	"28 weeks"	"28"	4
	"22 years"	"22"	"Single"	"1"	"17 weeks"	"17"	11
	"22 years"	"22"	"Single"	"1"	"18 weeks"	"18"	15
	"22 years"	"22"	"Single"	"1"	"19 weeks"	"19"	23
	"22 years"	"22"	"Single"	"1"	"20 weeks"	"20"	41
	"22 years"	"22"	"Single"	"1"	"21 weeks"	"21"	43
	"22 years"	"22"	"Single"	"1"	"22 weeks"	"22"	59
	"22 years"	"22"	"Single"	"1"	"23 weeks"	"23"	93
	"22 years"	"22"	"Single"	"1"	"24 weeks"	"24"	93
	"22 years"	"22"	"Single"	"1"	"25 weeks"	"25"	119
	"22 years"	"22"	"Single"	"1"	"26 weeks"	"26"	143
	"22 years"	"22"	"Single"	"1"	"27 weeks"	"27"	150
	"22 years"	"22"	"Single"	"1"	"28 weeks"	"28"	232
	"22 years"	"22"	"Single"	"1"	"29 weeks"	"29"	281
	"22 years"	"22"	"Single"	"1"	"30 weeks"	"30"	411
	"22 years"	"22"	"Single"	"1"	"31 weeks"	"31"	531
	"22 years"	"22"	"Single"	"1"	"32 weeks"	"32"	684
	"22 years"	"22"	"Single"	"1"	"33 weeks"	"33"	1047
	"22 years"	"22"	"Single"	"1"	"34 weeks"	"34"	1850
	"22 years"	"22"	"Single"	"1"	"35 weeks"	"35"	2824
	"22 years"	"22"	"Single"	"1"	"36 weeks"	"36"	5382
	"22 years"	"22"	"Single"	"1"	"37 weeks"	"37"	12759
	"22 years"	"22"	"Single"	"1"	"38 weeks"	"38"	20914
	"22 years"	"22"	"Single"	"1"	"39 weeks"	"39"	39555
	"22 years"	"22"	"Single"	"1"	"40 weeks"	"40"	25349
	"22 years"	"22"	"Single"	"1"	"41 weeks"	"41"	10486
	"22 years"	"22"	"Single"	"1"	"42 weeks"	"42"	3948
	"22 years"	"22"	"Single"	"1"	"43 weeks"	"43"	2046
	"22 years"	"22"	"Single"	"1"	"44 weeks"	"44"	1217
	"22 years"	"22"	"Single"	"1"	"45 weeks"	"45"	636
	"22 years"	"22"	"Single"	"1"	"46 weeks"	"46"	366
	"22 years"	"22"	"Single"	"1"	"47 weeks"	"47"	280
	"22 years"	"22"	"Single"	"1"	"Unknown or Not Stated"	"99"	103
	"22 years"	"22"	"Twin"	"2"	"17 weeks"	"17"	7
	"22 years"	"22"	"Twin"	"2"	"19 weeks"	"19"	3
	"22 years"	"22"	"Twin"	"2"	"20 weeks"	"20"	5
	"22 years"	"22"	"Twin"	"2"	"21 weeks"	"21"	7
	"22 years"	"22"	"Twin"	"2"	"22 weeks"	"22"	11
	"22 years"	"22"	"Twin"	"2"	"23 weeks"	"23"	14
	"22 years"	"22"	"Twin"	"2"	"24 weeks"	"24"	14
	"22 years"	"22"	"Twin"	"2"	"25 weeks"	"25"	24
	"22 years"	"22"	"Twin"	"2"	"26 weeks"	"26"	30
	"22 years"	"22"	"Twin"	"2"	"27 weeks"	"27"	34
	"22 years"	"22"	"Twin"	"2"	"28 weeks"	"28"	43
	"22 years"	"22"	"Twin"	"2"	"29 weeks"	"29"	48
	"22 years"	"22"	"Twin"	"2"	"30 weeks"	"30"	54
	"22 years"	"22"	"Twin"	"2"	"31 weeks"	"31"	90
	"22 years"	"22"	"Twin"	"2"	"32 weeks"	"32"	137
	"22 years"	"22"	"Twin"	"2"	"33 weeks"	"33"	174
	"22 years"	"22"	"Twin"	"2"	"34 weeks"	"34"	289
	"22 years"	"22"	"Twin"	"2"	"35 weeks"	"35"	402
	"22 years"	"22"	"Twin"	"2"	"36 weeks"	"36"	503
	"22 years"	"22"	"Twin"	"2"	"37 weeks"	"37"	540
	"22 years"	"22"	"Twin"	"2"	"38 weeks"	"38"	348
	"22 years"	"22"	"Twin"	"2"	"39 weeks"	"39"	111
	"22 years"	"22"	"Twin"	"2"	"40 weeks"	"40"	71
	"22 years"	"22"	"Twin"	"2"	"41 weeks"	"41"	30
	"22 years"	"22"	"Twin"	"2"	"42 weeks"	"42"	26
	"22 years"	"22"	"Twin"	"2"	"43 weeks"	"43"	7
	"22 years"	"22"	"Twin"	"2"	"44 weeks"	"44"	11
	"22 years"	"22"	"Twin"	"2"	"45 weeks"	"45"	10
	"22 years"	"22"	"Twin"	"2"	"46 weeks"	"46"	2
	"22 years"	"22"	"Twin"	"2"	"47 weeks"	"47"	2
	"22 years"	"22"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"22 years"	"22"	"Triplet"	"3"	"28 weeks"	"28"	3
	"22 years"	"22"	"Triplet"	"3"	"29 weeks"	"29"	1
	"22 years"	"22"	"Triplet"	"3"	"30 weeks"	"30"	6
	"22 years"	"22"	"Triplet"	"3"	"31 weeks"	"31"	6
	"22 years"	"22"	"Triplet"	"3"	"32 weeks"	"32"	3
	"22 years"	"22"	"Triplet"	"3"	"33 weeks"	"33"	9
	"22 years"	"22"	"Triplet"	"3"	"34 weeks"	"34"	6
	"22 years"	"22"	"Triplet"	"3"	"35 weeks"	"35"	4
	"22 years"	"22"	"Triplet"	"3"	"36 weeks"	"36"	3
	"22 years"	"22"	"Quadruplet"	"4"	"40 weeks"	"40"	1
	"23 years"	"23"	"Single"	"1"	"17 weeks"	"17"	14
	"23 years"	"23"	"Single"	"1"	"18 weeks"	"18"	14
	"23 years"	"23"	"Single"	"1"	"19 weeks"	"19"	18
	"23 years"	"23"	"Single"	"1"	"20 weeks"	"20"	28
	"23 years"	"23"	"Single"	"1"	"21 weeks"	"21"	38
	"23 years"	"23"	"Single"	"1"	"22 weeks"	"22"	66
	"23 years"	"23"	"Single"	"1"	"23 weeks"	"23"	82
	"23 years"	"23"	"Single"	"1"	"24 weeks"	"24"	97
	"23 years"	"23"	"Single"	"1"	"25 weeks"	"25"	110
	"23 years"	"23"	"Single"	"1"	"26 weeks"	"26"	155
	"23 years"	"23"	"Single"	"1"	"27 weeks"	"27"	177
	"23 years"	"23"	"Single"	"1"	"28 weeks"	"28"	247
	"23 years"	"23"	"Single"	"1"	"29 weeks"	"29"	287
	"23 years"	"23"	"Single"	"1"	"30 weeks"	"30"	379
	"23 years"	"23"	"Single"	"1"	"31 weeks"	"31"	488
	"23 years"	"23"	"Single"	"1"	"32 weeks"	"32"	712
	"23 years"	"23"	"Single"	"1"	"33 weeks"	"33"	1100
	"23 years"	"23"	"Single"	"1"	"34 weeks"	"34"	2067
	"23 years"	"23"	"Single"	"1"	"35 weeks"	"35"	3197
	"23 years"	"23"	"Single"	"1"	"36 weeks"	"36"	5846
	"23 years"	"23"	"Single"	"1"	"37 weeks"	"37"	13816
	"23 years"	"23"	"Single"	"1"	"38 weeks"	"38"	23209
	"23 years"	"23"	"Single"	"1"	"39 weeks"	"39"	44249
	"23 years"	"23"	"Single"	"1"	"40 weeks"	"40"	27842
	"23 years"	"23"	"Single"	"1"	"41 weeks"	"41"	11440
	"23 years"	"23"	"Single"	"1"	"42 weeks"	"42"	4184
	"23 years"	"23"	"Single"	"1"	"43 weeks"	"43"	2119
	"23 years"	"23"	"Single"	"1"	"44 weeks"	"44"	1207
	"23 years"	"23"	"Single"	"1"	"45 weeks"	"45"	660
	"23 years"	"23"	"Single"	"1"	"46 weeks"	"46"	392
	"23 years"	"23"	"Single"	"1"	"47 weeks"	"47"	288
	"23 years"	"23"	"Single"	"1"	"Unknown or Not Stated"	"99"	105
	"23 years"	"23"	"Twin"	"2"	"19 weeks"	"19"	6
	"23 years"	"23"	"Twin"	"2"	"20 weeks"	"20"	7
	"23 years"	"23"	"Twin"	"2"	"21 weeks"	"21"	6
	"23 years"	"23"	"Twin"	"2"	"22 weeks"	"22"	8
	"23 years"	"23"	"Twin"	"2"	"23 weeks"	"23"	24
	"23 years"	"23"	"Twin"	"2"	"24 weeks"	"24"	20
	"23 years"	"23"	"Twin"	"2"	"25 weeks"	"25"	22
	"23 years"	"23"	"Twin"	"2"	"26 weeks"	"26"	31
	"23 years"	"23"	"Twin"	"2"	"27 weeks"	"27"	43
	"23 years"	"23"	"Twin"	"2"	"28 weeks"	"28"	68
	"23 years"	"23"	"Twin"	"2"	"29 weeks"	"29"	33
	"23 years"	"23"	"Twin"	"2"	"30 weeks"	"30"	82
	"23 years"	"23"	"Twin"	"2"	"31 weeks"	"31"	84
	"23 years"	"23"	"Twin"	"2"	"32 weeks"	"32"	164
	"23 years"	"23"	"Twin"	"2"	"33 weeks"	"33"	228
	"23 years"	"23"	"Twin"	"2"	"34 weeks"	"34"	381
	"23 years"	"23"	"Twin"	"2"	"35 weeks"	"35"	383
	"23 years"	"23"	"Twin"	"2"	"36 weeks"	"36"	663
	"23 years"	"23"	"Twin"	"2"	"37 weeks"	"37"	622
	"23 years"	"23"	"Twin"	"2"	"38 weeks"	"38"	417
	"23 years"	"23"	"Twin"	"2"	"39 weeks"	"39"	158
	"23 years"	"23"	"Twin"	"2"	"40 weeks"	"40"	90
	"23 years"	"23"	"Twin"	"2"	"41 weeks"	"41"	34
	"23 years"	"23"	"Twin"	"2"	"42 weeks"	"42"	23
	"23 years"	"23"	"Twin"	"2"	"43 weeks"	"43"	10
	"23 years"	"23"	"Twin"	"2"	"44 weeks"	"44"	16
	"23 years"	"23"	"Twin"	"2"	"45 weeks"	"45"	6
	"23 years"	"23"	"Twin"	"2"	"46 weeks"	"46"	4
	"23 years"	"23"	"Twin"	"2"	"47 weeks"	"47"	6
	"23 years"	"23"	"Twin"	"2"	"Unknown or Not Stated"	"99"	5
	"23 years"	"23"	"Triplet"	"3"	"22 weeks"	"22"	8
	"23 years"	"23"	"Triplet"	"3"	"27 weeks"	"27"	3
	"23 years"	"23"	"Triplet"	"3"	"30 weeks"	"30"	9
	"23 years"	"23"	"Triplet"	"3"	"31 weeks"	"31"	6
	"23 years"	"23"	"Triplet"	"3"	"32 weeks"	"32"	12
	"23 years"	"23"	"Triplet"	"3"	"33 weeks"	"33"	6
	"23 years"	"23"	"Triplet"	"3"	"34 weeks"	"34"	11
	"23 years"	"23"	"Triplet"	"3"	"35 weeks"	"35"	3
	"23 years"	"23"	"Triplet"	"3"	"36 weeks"	"36"	3
	"23 years"	"23"	"Triplet"	"3"	"37 weeks"	"37"	1
	"23 years"	"23"	"Triplet"	"3"	"39 weeks"	"39"	1
	"23 years"	"23"	"Quadruplet"	"4"	"41 weeks"	"41"	1
	"24 years"	"24"	"Single"	"1"	"17 weeks"	"17"	6
	"24 years"	"24"	"Single"	"1"	"18 weeks"	"18"	18
	"24 years"	"24"	"Single"	"1"	"19 weeks"	"19"	33
	"24 years"	"24"	"Single"	"1"	"20 weeks"	"20"	43
	"24 years"	"24"	"Single"	"1"	"21 weeks"	"21"	53
	"24 years"	"24"	"Single"	"1"	"22 weeks"	"22"	60
	"24 years"	"24"	"Single"	"1"	"23 weeks"	"23"	74
	"24 years"	"24"	"Single"	"1"	"24 weeks"	"24"	106
	"24 years"	"24"	"Single"	"1"	"25 weeks"	"25"	137
	"24 years"	"24"	"Single"	"1"	"26 weeks"	"26"	166
	"24 years"	"24"	"Single"	"1"	"27 weeks"	"27"	164
	"24 years"	"24"	"Single"	"1"	"28 weeks"	"28"	247
	"24 years"	"24"	"Single"	"1"	"29 weeks"	"29"	313
	"24 years"	"24"	"Single"	"1"	"30 weeks"	"30"	441
	"24 years"	"24"	"Single"	"1"	"31 weeks"	"31"	562
	"24 years"	"24"	"Single"	"1"	"32 weeks"	"32"	768
	"24 years"	"24"	"Single"	"1"	"33 weeks"	"33"	1215
	"24 years"	"24"	"Single"	"1"	"34 weeks"	"34"	2096
	"24 years"	"24"	"Single"	"1"	"35 weeks"	"35"	3301
	"24 years"	"24"	"Single"	"1"	"36 weeks"	"36"	6240
	"24 years"	"24"	"Single"	"1"	"37 weeks"	"37"	15149
	"24 years"	"24"	"Single"	"1"	"38 weeks"	"38"	25338
	"24 years"	"24"	"Single"	"1"	"39 weeks"	"39"	49060
	"24 years"	"24"	"Single"	"1"	"40 weeks"	"40"	30442
	"24 years"	"24"	"Single"	"1"	"41 weeks"	"41"	12687
	"24 years"	"24"	"Single"	"1"	"42 weeks"	"42"	4515
	"24 years"	"24"	"Single"	"1"	"43 weeks"	"43"	2416
	"24 years"	"24"	"Single"	"1"	"44 weeks"	"44"	1277
	"24 years"	"24"	"Single"	"1"	"45 weeks"	"45"	725
	"24 years"	"24"	"Single"	"1"	"46 weeks"	"46"	449
	"24 years"	"24"	"Single"	"1"	"47 weeks"	"47"	317
	"24 years"	"24"	"Single"	"1"	"Unknown or Not Stated"	"99"	121
	"24 years"	"24"	"Twin"	"2"	"18 weeks"	"18"	2
	"24 years"	"24"	"Twin"	"2"	"19 weeks"	"19"	3
	"24 years"	"24"	"Twin"	"2"	"20 weeks"	"20"	8
	"24 years"	"24"	"Twin"	"2"	"21 weeks"	"21"	11
	"24 years"	"24"	"Twin"	"2"	"22 weeks"	"22"	9
	"24 years"	"24"	"Twin"	"2"	"23 weeks"	"23"	20
	"24 years"	"24"	"Twin"	"2"	"24 weeks"	"24"	24
	"24 years"	"24"	"Twin"	"2"	"25 weeks"	"25"	25
	"24 years"	"24"	"Twin"	"2"	"26 weeks"	"26"	28
	"24 years"	"24"	"Twin"	"2"	"27 weeks"	"27"	40
	"24 years"	"24"	"Twin"	"2"	"28 weeks"	"28"	66
	"24 years"	"24"	"Twin"	"2"	"29 weeks"	"29"	49
	"24 years"	"24"	"Twin"	"2"	"30 weeks"	"30"	90
	"24 years"	"24"	"Twin"	"2"	"31 weeks"	"31"	118
	"24 years"	"24"	"Twin"	"2"	"32 weeks"	"32"	163
	"24 years"	"24"	"Twin"	"2"	"33 weeks"	"33"	242
	"24 years"	"24"	"Twin"	"2"	"34 weeks"	"34"	407
	"24 years"	"24"	"Twin"	"2"	"35 weeks"	"35"	454
	"24 years"	"24"	"Twin"	"2"	"36 weeks"	"36"	735
	"24 years"	"24"	"Twin"	"2"	"37 weeks"	"37"	771
	"24 years"	"24"	"Twin"	"2"	"38 weeks"	"38"	483
	"24 years"	"24"	"Twin"	"2"	"39 weeks"	"39"	161
	"24 years"	"24"	"Twin"	"2"	"40 weeks"	"40"	95
	"24 years"	"24"	"Twin"	"2"	"41 weeks"	"41"	45
	"24 years"	"24"	"Twin"	"2"	"42 weeks"	"42"	22
	"24 years"	"24"	"Twin"	"2"	"43 weeks"	"43"	14
	"24 years"	"24"	"Twin"	"2"	"44 weeks"	"44"	4
	"24 years"	"24"	"Twin"	"2"	"45 weeks"	"45"	2
	"24 years"	"24"	"Twin"	"2"	"46 weeks"	"46"	2
	"24 years"	"24"	"Twin"	"2"	"47 weeks"	"47"	2
	"24 years"	"24"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"24 years"	"24"	"Triplet"	"3"	"23 weeks"	"23"	1
	"24 years"	"24"	"Triplet"	"3"	"24 weeks"	"24"	2
	"24 years"	"24"	"Triplet"	"3"	"25 weeks"	"25"	1
	"24 years"	"24"	"Triplet"	"3"	"26 weeks"	"26"	6
	"24 years"	"24"	"Triplet"	"3"	"29 weeks"	"29"	1
	"24 years"	"24"	"Triplet"	"3"	"30 weeks"	"30"	3
	"24 years"	"24"	"Triplet"	"3"	"31 weeks"	"31"	10
	"24 years"	"24"	"Triplet"	"3"	"32 weeks"	"32"	10
	"24 years"	"24"	"Triplet"	"3"	"33 weeks"	"33"	3
	"24 years"	"24"	"Triplet"	"3"	"34 weeks"	"34"	15
	"24 years"	"24"	"Triplet"	"3"	"35 weeks"	"35"	6
	"24 years"	"24"	"Triplet"	"3"	"38 weeks"	"38"	6
	"24 years"	"24"	"Triplet"	"3"	"39 weeks"	"39"	1
	"24 years"	"24"	"Triplet"	"3"	"46 weeks"	"46"	1
	"24 years"	"24"	"Quadruplet"	"4"	"19 weeks"	"19"	1
	"24 years"	"24"	"Quadruplet"	"4"	"24 weeks"	"24"	4
	"24 years"	"24"	"Quadruplet"	"4"	"28 weeks"	"28"	4
	"25 years"	"25"	"Single"	"1"	"17 weeks"	"17"	9
	"25 years"	"25"	"Single"	"1"	"18 weeks"	"18"	16
	"25 years"	"25"	"Single"	"1"	"19 weeks"	"19"	25
	"25 years"	"25"	"Single"	"1"	"20 weeks"	"20"	51
	"25 years"	"25"	"Single"	"1"	"21 weeks"	"21"	43
	"25 years"	"25"	"Single"	"1"	"22 weeks"	"22"	58
	"25 years"	"25"	"Single"	"1"	"23 weeks"	"23"	82
	"25 years"	"25"	"Single"	"1"	"24 weeks"	"24"	125
	"25 years"	"25"	"Single"	"1"	"25 weeks"	"25"	139
	"25 years"	"25"	"Single"	"1"	"26 weeks"	"26"	147
	"25 years"	"25"	"Single"	"1"	"27 weeks"	"27"	203
	"25 years"	"25"	"Single"	"1"	"28 weeks"	"28"	284
	"25 years"	"25"	"Single"	"1"	"29 weeks"	"29"	342
	"25 years"	"25"	"Single"	"1"	"30 weeks"	"30"	479
	"25 years"	"25"	"Single"	"1"	"31 weeks"	"31"	575
	"25 years"	"25"	"Single"	"1"	"32 weeks"	"32"	829
	"25 years"	"25"	"Single"	"1"	"33 weeks"	"33"	1254
	"25 years"	"25"	"Single"	"1"	"34 weeks"	"34"	2242
	"25 years"	"25"	"Single"	"1"	"35 weeks"	"35"	3517
	"25 years"	"25"	"Single"	"1"	"36 weeks"	"36"	6675
	"25 years"	"25"	"Single"	"1"	"37 weeks"	"37"	16537
	"25 years"	"25"	"Single"	"1"	"38 weeks"	"38"	27892
	"25 years"	"25"	"Single"	"1"	"39 weeks"	"39"	54036
	"25 years"	"25"	"Single"	"1"	"40 weeks"	"40"	33837
	"25 years"	"25"	"Single"	"1"	"41 weeks"	"41"	13534
	"25 years"	"25"	"Single"	"1"	"42 weeks"	"42"	4824
	"25 years"	"25"	"Single"	"1"	"43 weeks"	"43"	2536
	"25 years"	"25"	"Single"	"1"	"44 weeks"	"44"	1365
	"25 years"	"25"	"Single"	"1"	"45 weeks"	"45"	724
	"25 years"	"25"	"Single"	"1"	"46 weeks"	"46"	450
	"25 years"	"25"	"Single"	"1"	"47 weeks"	"47"	348
	"25 years"	"25"	"Single"	"1"	"Unknown or Not Stated"	"99"	111
	"25 years"	"25"	"Twin"	"2"	"17 weeks"	"17"	2
	"25 years"	"25"	"Twin"	"2"	"18 weeks"	"18"	4
	"25 years"	"25"	"Twin"	"2"	"19 weeks"	"19"	3
	"25 years"	"25"	"Twin"	"2"	"20 weeks"	"20"	15
	"25 years"	"25"	"Twin"	"2"	"21 weeks"	"21"	21
	"25 years"	"25"	"Twin"	"2"	"22 weeks"	"22"	15
	"25 years"	"25"	"Twin"	"2"	"23 weeks"	"23"	25
	"25 years"	"25"	"Twin"	"2"	"24 weeks"	"24"	35
	"25 years"	"25"	"Twin"	"2"	"25 weeks"	"25"	28
	"25 years"	"25"	"Twin"	"2"	"26 weeks"	"26"	39
	"25 years"	"25"	"Twin"	"2"	"27 weeks"	"27"	47
	"25 years"	"25"	"Twin"	"2"	"28 weeks"	"28"	52
	"25 years"	"25"	"Twin"	"2"	"29 weeks"	"29"	72
	"25 years"	"25"	"Twin"	"2"	"30 weeks"	"30"	84
	"25 years"	"25"	"Twin"	"2"	"31 weeks"	"31"	123
	"25 years"	"25"	"Twin"	"2"	"32 weeks"	"32"	230
	"25 years"	"25"	"Twin"	"2"	"33 weeks"	"33"	273
	"25 years"	"25"	"Twin"	"2"	"34 weeks"	"34"	405
	"25 years"	"25"	"Twin"	"2"	"35 weeks"	"35"	599
	"25 years"	"25"	"Twin"	"2"	"36 weeks"	"36"	862
	"25 years"	"25"	"Twin"	"2"	"37 weeks"	"37"	940
	"25 years"	"25"	"Twin"	"2"	"38 weeks"	"38"	699
	"25 years"	"25"	"Twin"	"2"	"39 weeks"	"39"	171
